SentenceId,View,Opinion
106243,沃尔沃,neu
113115,别克,neu
118012,保时捷macan,neu
113606,g4,neu
120120,飞度,neu
100637,标致雪铁龙,neu
106347,广汽传祺,neu
119184,别克,neu
131750,五菱,pos
116204,飞度,neu
107776,雅阁,neu
106762,雪佛兰,neu
114586,翼虎,pos
125689,宝骏560,neu
111428,宝马,pos
104050,宝马,neu
128667,玛莎拉蒂,neu
125025,威驰,neu
130518,梅赛德斯-迈巴赫6,neu
109961,雪佛兰,neu
111093,凯美瑞,neu
126157,大众,pos
129861,奥迪,neu
114146,凯美瑞,neu
125797,本田,neu
122584,奥迪,neu
115792,丰田,neu
113187,朗逸,neu
125689,北汽幻速,neu
117470,bmw,neu
108565,逍客,neg
111210,道奇酷威,neu
105442,宝马,neu
111252,宝马,neu
103207,斯柯达KODIAQ,neu
115671,江淮,pos
114368,大众,neg
108252,雪佛兰,neu
125180,1系,neu
104359,梅赛德斯-奔驰,neu
101467,高尔夫嘉旅,neu
127030,普瑞维亚,neu
113847,飞度,neu
117149,小宝,neu
114126,gti,neu
116625,斯巴鲁,pos
109755,上汽,pos
128525,ds,neg
111255,来宝,neu
127734,奥迪,neg
131555,丰田普拉多,neu
118038,众泰,neg
125561,兰博基尼,neu
111354,迈锐宝,neu
118477,mini,neu
111251,宝马,neu
129244,宝马,neu
126781,PHIDEON辉昂,neu
123251,gl8,neu
120213,GTI,neu
121890,高尔夫,neu
100694,迈腾,neu
107409,长城,pos
127673,a4,neu
117924,爱丽舍,neg
125583,五菱,neu
114626,哈弗,neu
114829,宝马,neu
125504,奥迪q5,neu
106056,斯柯达,neu
101211,哈弗H6 Coupe,pos
128650,众泰z700,neu
112625,威朗,neu
122582,New Polo,pos
101475,朗逸,neu
114451,雪佛兰,neu
122906,速腾,neu
109800,通用,neu
107755,北京现代悦纳,neu
100068,江淮,neu
121442,马自达,neu
125454,凯越,neu
131532,丰田c-hr,neu
117168,奔驰,neu
120975,途观,neu
120008,长安cs75,pos
132088,大众朗逸,neu
100948,皇冠,neu
110991,骐达,neu
104329,比亚迪s6,neu
129926,本田,neu
116961,上海大众朗行,neu
112763,奥迪q5,neu
106189,k2,pos
110148,通用,neu
122320,奥迪,neu
103425,长安欧尚,neu
125233,兰博基尼,neg
123066,纳智捷,neu
114476,吉普,neu
107888,宝骏610,neu
122209,法拉利,neu
129952,马自达3星骋,neu
114005,蓝鸟,neu
101658,凌渡,pos
116277,宝来,neu
125778,奥迪,neu
122044,一汽-大众,neu
108502,smart,neu
132105,尚酷,neu
103848,广汽传祺,pos
111129,捷达,neu
126618,5系,pos
119193,大众辉腾,neu
112686,奥迪a7,neu
112254,长安cs35,neu
131730,比亚迪,neu
114725,众泰,neu
108118,奥迪,neu
115505,迈腾,pos
124616,昂科威,neu
116174,迈腾,neu
110907,福特,neu
131492,迈锐宝,neg
128213,上海大众,pos
112306,捷豹xf,neu
127776,宝马,neu
119352,奥迪s8,neu
106737,江淮,neu
100801,大众,neu
102618,卡罗拉,pos
109573,奔驰,neu
104896,雅阁,neu
116223,长安,neu
116100,君威gs,neu
131267,飞度,neu
127300,吉普牧马人,neu
122149,哈弗,neu
103340,比亚迪,pos
107887,金牛座,neu
100965,凯美瑞,neu
100509,雷凌,neu
111540,大众,neu
118600,凯美瑞,pos
124048,朗逸,neg
111808,m4,neu
109498,308,neu
102785,轩逸,neu
113081,大众,pos
121899,奔驰e级coupe,neu
101708,现代,neu
106804,别克,pos
129102,宝马,neu
118852,宝马,neu
116882,5系,neu
123076,林肯mkx,neu
113427,海马m6,neu
129555,福特嘉年华,pos
102001,柯斯达,neu
127719,大众,neu
121706,翼虎,neu
129131,宝马,neu
131323,宝马x1,neu
124833,现代,pos
102064,陆虎,neu
131362,q5,neu
114728,东风本田,neu
119516,英朗gt,neu
132373,高尔夫,neu
122043,比亚迪,neu
109377,宝骏,neu
121290,福特,neu
106021,rv,neu
113197,江淮,pos
115484,v10,neu
122734,野马t70,pos
126035,福克斯,neu
105826,奥德赛,neu
109953,广汽传祺,neu
115603,奥迪,neu
112170,宝骏,pos
101555,比亚迪,pos
109412,迈锐宝,neu
120501,B8,pos
130238,雪铁龙,pos
107524,宝马5系,pos
114119,海马s5,neu
118389,宝马,neu
119847,悍马,neu
121893,长安,pos
103571,英朗,neu
120991,马自达,neu
117281,雅力士,pos
110522,长城,pos
121741,宝骏310,pos
109699,广汽,neu
108878,凯迪拉克,neu
115228,A6L,neu
111988,东风悦达起亚kx5,neu
111821,帕萨特,pos
128141,大众r36,neu
100046,长安,neu
125725,雪佛兰,neu
112811,自由光,neu
102199,长安cx70,pos
102355,别克君越,pos
106181,奥迪,neu
102849,福特,neu
125664,jetta,neu
119488,东风小康c37,neu
128870,迈锐宝XL,pos
113623,十代思域,pos
121921,沃尔沃v40,neu
130278,ds,neu
125033,蔚揽,neu
131824,东风悦达起亚,pos
106588,cs35,pos
121709,威朗,neu
131486,cc,neu
109334,上海大众朗行,neu
120014,大众桑塔纳,neu
128665,法拉利,neu
111615,缤智,neg
106591,polo,pos
121488,马自达,neu
122793,凯越,neu
114940,昂科拉,pos
119044,蒙迪欧,neu
112903,奇瑞qq,neu
128105,桑塔纳,neu
127403,艾瑞泽5,neu
123378,丰田,neg
110552,速派,pos
116887,奥迪a4l,neu
118247,雪佛兰,neu
124343,凯迪拉克,pos
104605,奥迪s8,neu
124780,7系,neu
111085,帕萨特,neu
105573,雷克萨斯,pos
108174,奔驰,neu
119029,大众,pos
121235,上汽大众,neu
100860,昂科威,neu
102402,Cross Santana,neu
123504,讴歌,pos
112013,捷达,neu
132735,奥迪a5,neu
122970,菲克,neu
110235,吉利,neu
114948,威朗,neu
127138,标致,neu
119179,宝马740,neu
108755,荣威,pos
129235,捷达,neu
125501,东风悦达起亚,neu
116546,PHEV,neu
116230,海景,neu
117408,奥迪q3,neu
110650,Q5,pos
100326,凯美瑞,neg
113762,别克君越,pos
106970,创驰蓝天,pos
119599,麦弗逊,neu
